user_id,movie_id,algo_id,action,x,y,timestamp
77802,4912,0,start,,,Wed Feb 07 2018 19:56:02 GMT-0800 (PST)
24139,6002,1,resume,,,Thu Jan 11 2018 20:23:32 GMT-0800 (PST)
37976,3638,0,impression,-4,-7,Thu Dec 21 2017 21:17:25 GMT-0800 (PST)
40330,3526,0,down,,,Wed Feb 14 2018 01:06:25 GMT-0800 (PST)
88461,4831,0,start,,,Fri Dec 22 2017 01:06:59 GMT-0800 (PST)
42374,2214,1,resume,,,Tue Feb 20 2018 08:15:31 GMT-0800 (PST)
68651,7374,1,pause,,,Fri Feb 23 2018 21:27:57 GMT-0800 (PST)
63097,8054,1,start,,,Sun Dec 24 2017 07:17:59 GMT-0800 (PST)
48298,2978,1,impression,-2,-3,Tue Jan 23 2018 06:36:35 GMT-0800 (PST)
12524,9663,0,impression,6,-6,Sat Dec 02 2017 17:36:44 GMT-0800 (PST)
41102,4633,1,pause,,,Tue Dec 05 2017 01:22:41 GMT-0800 (PST)
18503,2601,0,impression,-2,-2,Wed Feb 14 2018 09:54:29 GMT-0800 (PST)
47813,7406,0,impression,7,9,Fri Jan 05 2018 09:22:43 GMT-0800 (PST)
60688,5611,0,impression,-9,-2,Sun Feb 11 2018 13:08:23 GMT-0800 (PST)
80449,57,0,impression,2,-5,Mon Dec 18 2017 07:52:47 GMT-0800 (PST)
58956,547,1,down,,,Tue Feb 06 2018 00:10:29 GMT-0800 (PST)
49206,8430,1,impression,-5,6,Sun Feb 18 2018 12:31:27 GMT-0800 (PST)
3753,6898,1,impression,-7,-2,Sat Feb 17 2018 19:55:38 GMT-0800 (PST)
68241,8953,0,complete,,,Wed Feb 14 2018 04:44:57 GMT-0800 (PST)
31556,1561,0,up,,,Sat Dec 09 2017 21:18:45 GMT-0800 (PST)
27023,8364,1,impression,-6,-6,Sun Dec 31 2017 17:42:40 GMT-0800 (PST)
33013,3326,0,impression,-1,-2,Sat Dec 30 2017 23:32:40 GMT-0800 (PST)
83050,9173,0,impression,4,-6,Mon Dec 04 2017 17:45:28 GMT-0800 (PST)
75503,3614,0,impression,6,1,Sun Dec 24 2017 22:23:04 GMT-0800 (PST)
46143,7850,0,resume,,,Fri Jan 05 2018 08:08:15 GMT-0800 (PST)
45721,3309,0,start,,,Mon Jan 08 2018 19:16:47 GMT-0800 (PST)
68116,9825,0,up,,,Sun Dec 10 2017 04:53:42 GMT-0800 (PST)
98578,8362,0,down,,,Tue Dec 26 2017 13:02:20 GMT-0800 (PST)
49261,4757,1,resume,,,Thu Feb 22 2018 02:04:54 GMT-0800 (PST)
69829,4428,1,impression,5,-6,Fri Feb 16 2018 06:43:35 GMT-0800 (PST)
38962,6754,0,impression,-7,-9,Tue Jan 16 2018 13:31:04 GMT-0800 (PST)
67151,3603,1,impression,-6,-8,Sun Jan 14 2018 08:15:26 GMT-0800 (PST)
57490,4061,0,impression,-9,-4,Fri Feb 16 2018 04:52:01 GMT-0800 (PST)
28176,6237,0,start,,,Sun Dec 24 2017 09:38:41 GMT-0800 (PST)
32718,9073,1,impression,-3,-1,Fri Feb 23 2018 04:30:52 GMT-0800 (PST)
21621,8488,0,impression,-5,3,Fri Jan 05 2018 14:35:04 GMT-0800 (PST)
45856,3670,0,impression,-3,4,Sat Dec 23 2017 01:30:12 GMT-0800 (PST)
36747,747,0,engage,,,Sun Dec 10 2017 07:51:13 GMT-0800 (PST)
99437,9164,0,engage,,,Thu Feb 15 2018 14:55:17 GMT-0800 (PST)
65102,3388,1,impression,7,9,Mon Feb 12 2018 09:59:50 GMT-0800 (PST)
34739,8827,0,impression,-6,4,Mon Feb 19 2018 05:08:48 GMT-0800 (PST)
34204,477,0,pause,,,Tue Dec 26 2017 15:45:03 GMT-0800 (PST)
47539,7374,0,engage,,,Sat Dec 23 2017 16:58:12 GMT-0800 (PST)
72301,3758,0,complete,,,Sun Feb 11 2018 04:12:22 GMT-0800 (PST)
74720,7500,1,start,,,Sat Jan 20 2018 15:48:07 GMT-0800 (PST)
61594,2994,1,engage,,,Wed Feb 28 2018 15:54:30 GMT-0800 (PST)
93065,7994,0,impression,-1,-2,Tue Jan 16 2018 08:46:53 GMT-0800 (PST)
62900,7742,1,impression,-9,-8,Mon Dec 11 2017 19:07:40 GMT-0800 (PST)
19137,5180,1,pause,,,Thu Jan 11 2018 20:31:01 GMT-0800 (PST)
36965,6278,0,engage,,,Thu Jan 04 2018 07:35:43 GMT-0800 (PST)
59212,5844,0,impression,-6,-1,Fri Feb 16 2018 21:12:01 GMT-0800 (PST)
76670,3613,0,complete,,,Tue Feb 20 2018 20:53:43 GMT-0800 (PST)
30273,9368,1,impression,3,-2,Wed Jan 17 2018 15:12:44 GMT-0800 (PST)
75070,3062,1,start,,,Sun Jan 21 2018 22:30:03 GMT-0800 (PST)
62466,2893,0,start,,,Sat Feb 10 2018 05:27:24 GMT-0800 (PST)
