user_id,movie_id,algo_id,action,x,y,timestamp
71574,995,1,engage,,,Fri Jan 12 2018 18:17:11 GMT-0800 (PST)
34123,2047,0,impression,4,-10,Thu Jan 18 2018 22:23:50 GMT-0800 (PST)
36550,4626,0,impression,1,8,Sun Jan 28 2018 17:02:13 GMT-0800 (PST)
21693,406,0,engage,,,Fri Jan 19 2018 22:30:35 GMT-0800 (PST)
19547,9171,1,pause,,,Mon Feb 19 2018 08:09:42 GMT-0800 (PST)
46195,8699,1,impression,-7,3,Fri Dec 29 2017 05:19:10 GMT-0800 (PST)
30163,4248,1,engage,,,Mon Feb 26 2018 11:23:18 GMT-0800 (PST)
3405,1354,0,down,,,Sat Jan 06 2018 19:45:40 GMT-0800 (PST)
54643,9723,1,impression,5,-1,Sun Dec 24 2017 19:06:24 GMT-0800 (PST)
92977,9433,1,impression,-9,4,Mon Feb 12 2018 04:48:40 GMT-0800 (PST)
98563,5403,0,start,,,Wed Feb 07 2018 22:52:35 GMT-0800 (PST)
16531,2610,0,up,,,Tue Jan 30 2018 13:13:39 GMT-0800 (PST)
31278,7179,0,impression,-5,0,Tue Jan 09 2018 13:32:39 GMT-0800 (PST)
43313,2726,0,impression,3,-2,Sun Jan 28 2018 12:36:07 GMT-0800 (PST)
53398,5112,1,pause,,,Sat Dec 16 2017 07:19:37 GMT-0800 (PST)
31007,2239,0,engage,,,Wed Dec 27 2017 17:12:58 GMT-0800 (PST)
1456,271,1,impression,-10,1,Sat Dec 09 2017 02:06:21 GMT-0800 (PST)
94155,3781,1,impression,3,7,Mon Dec 18 2017 09:04:51 GMT-0800 (PST)
84365,2989,1,engage,,,Tue Feb 27 2018 20:20:07 GMT-0800 (PST)
36595,9333,0,engage,,,Fri Dec 29 2017 13:20:53 GMT-0800 (PST)
15364,8249,1,down,,,Fri Feb 16 2018 04:19:31 GMT-0800 (PST)
29851,1745,1,engage,,,Wed Dec 06 2017 07:38:48 GMT-0800 (PST)
57256,2764,0,start,,,Wed Feb 28 2018 19:41:53 GMT-0800 (PST)
81425,1126,1,impression,7,1,Wed Jan 10 2018 14:04:51 GMT-0800 (PST)
59656,9913,1,pause,,,Wed Jan 03 2018 16:00:52 GMT-0800 (PST)
57502,7285,1,engage,,,Fri Jan 12 2018 01:47:29 GMT-0800 (PST)
23206,7387,1,start,,,Sat Jan 27 2018 09:07:35 GMT-0800 (PST)
99744,1544,1,impression,-3,8,Thu Jan 25 2018 21:41:56 GMT-0800 (PST)
60711,5777,0,start,,,Sun Feb 18 2018 05:17:57 GMT-0800 (PST)
38693,4736,0,down,,,Mon Jan 15 2018 08:21:56 GMT-0800 (PST)
77925,7872,0,impression,4,-7,Tue Dec 05 2017 17:23:58 GMT-0800 (PST)
82609,2235,0,impression,1,4,Sat Feb 10 2018 19:26:36 GMT-0800 (PST)
44638,3275,1,impression,8,-7,Fri Dec 08 2017 01:22:06 GMT-0800 (PST)
26050,8533,0,impression,1,-8,Mon Jan 29 2018 17:52:34 GMT-0800 (PST)
41950,4817,0,start,,,Thu Dec 14 2017 08:59:12 GMT-0800 (PST)
2262,2646,1,engage,,,Tue Dec 05 2017 16:13:41 GMT-0800 (PST)
88007,8603,0,up,,,Fri Dec 15 2017 02:57:59 GMT-0800 (PST)
58957,5505,0,impression,-6,0,Mon Feb 19 2018 06:32:01 GMT-0800 (PST)
19821,2628,1,impression,-9,3,Sun Feb 04 2018 22:31:15 GMT-0800 (PST)
3680,8415,0,impression,0,-2,Fri Feb 09 2018 20:46:52 GMT-0800 (PST)
92965,6431,1,resume,,,Wed Feb 28 2018 22:30:59 GMT-0800 (PST)
117,5396,1,complete,,,Tue Jan 09 2018 13:54:07 GMT-0800 (PST)
57961,5801,1,start,,,Sun Jan 28 2018 01:56:44 GMT-0800 (PST)
78931,2113,1,down,,,Sat Jan 06 2018 05:17:20 GMT-0800 (PST)
82705,8968,0,impression,8,-1,Fri Jan 19 2018 04:42:25 GMT-0800 (PST)
98921,9816,0,complete,,,Mon Feb 26 2018 21:00:31 GMT-0800 (PST)
99701,446,0,engage,,,Tue Jan 16 2018 01:42:06 GMT-0800 (PST)
5170,2309,0,impression,2,9,Tue Feb 20 2018 16:48:59 GMT-0800 (PST)
67228,6050,1,impression,-8,-8,Fri Feb 23 2018 20:40:56 GMT-0800 (PST)
43584,1789,0,pause,,,Fri Jan 19 2018 21:40:37 GMT-0800 (PST)
62851,4058,0,down,,,Tue Dec 19 2017 07:52:41 GMT-0800 (PST)
73761,3684,1,engage,,,Fri Dec 22 2017 08:08:04 GMT-0800 (PST)
78632,3197,1,engage,,,Fri Dec 08 2017 17:18:01 GMT-0800 (PST)
56506,7678,0,engage,,,Sun Dec 10 2017 04:37:52 GMT-0800 (PST)
55174,3812,1,up,,,Tue Feb 06 2018 02:45:28 GMT-0800 (PST)
54140,5286,0,engage,,,Wed Jan 31 2018 21:34:21 GMT-0800 (PST)
