user_id,movie_id,algo_id,action,x,y,timestamp
61759,4536,0,impression,1,-9,Tue Feb 20 2018 14:54:50 GMT-0800 (PST)
25390,9296,1,impression,6,0,Wed Feb 14 2018 09:18:52 GMT-0800 (PST)
13706,6520,0,impression,5,0,Fri Jan 12 2018 18:56:15 GMT-0800 (PST)
98459,9853,1,start,,,Thu Feb 08 2018 18:48:46 GMT-0800 (PST)
20757,772,1,start,,,Mon Dec 04 2017 12:12:18 GMT-0800 (PST)
33979,4576,1,engage,,,Wed Feb 28 2018 10:36:25 GMT-0800 (PST)
20462,7384,1,start,,,Mon Dec 25 2017 22:08:42 GMT-0800 (PST)
23470,4096,1,impression,8,-10,Sun Feb 25 2018 12:35:25 GMT-0800 (PST)
12517,6516,1,engage,,,Sun Dec 31 2017 22:47:02 GMT-0800 (PST)
94578,3982,1,engage,,,Mon Feb 05 2018 19:43:55 GMT-0800 (PST)
56974,7822,1,down,,,Fri Feb 16 2018 14:22:20 GMT-0800 (PST)
14213,2655,0,impression,3,0,Fri Jan 05 2018 01:21:40 GMT-0800 (PST)
46812,5505,1,start,,,Mon Feb 26 2018 17:40:09 GMT-0800 (PST)
65663,255,0,impression,-1,-5,Sat Feb 24 2018 03:48:54 GMT-0800 (PST)
94505,3944,1,impression,-9,-10,Mon Feb 19 2018 17:54:54 GMT-0800 (PST)
24611,5000,1,impression,-10,-6,Mon Jan 15 2018 07:35:09 GMT-0800 (PST)
32039,448,0,impression,-1,9,Tue Feb 20 2018 11:41:59 GMT-0800 (PST)
69007,3380,1,resume,,,Wed Dec 20 2017 06:21:36 GMT-0800 (PST)
26873,6160,0,pause,,,Wed Dec 27 2017 17:51:33 GMT-0800 (PST)
34869,2384,0,impression,-3,-8,Sun Feb 18 2018 16:22:09 GMT-0800 (PST)
53438,4192,0,engage,,,Wed Dec 06 2017 05:02:13 GMT-0800 (PST)
55328,6103,1,complete,,,Wed Jan 17 2018 10:48:19 GMT-0800 (PST)
56684,4832,0,resume,,,Sat Dec 02 2017 19:30:05 GMT-0800 (PST)
22943,8418,1,impression,1,-9,Sat Dec 16 2017 09:36:15 GMT-0800 (PST)
10654,3979,0,engage,,,Mon Dec 25 2017 22:19:31 GMT-0800 (PST)
95399,4005,0,impression,3,-9,Sat Jan 20 2018 17:55:03 GMT-0800 (PST)
45800,2674,1,complete,,,Sat Feb 24 2018 04:06:33 GMT-0800 (PST)
62049,2433,1,impression,-5,6,Sat Feb 24 2018 10:18:10 GMT-0800 (PST)
27050,8238,0,impression,7,-8,Sat Jan 13 2018 00:43:26 GMT-0800 (PST)
80889,2690,1,up,,,Sat Feb 24 2018 12:37:57 GMT-0800 (PST)
30247,3680,1,pause,,,Sat Dec 09 2017 10:54:06 GMT-0800 (PST)
37616,7707,1,impression,0,-8,Sun Jan 07 2018 18:09:19 GMT-0800 (PST)
89347,1843,1,impression,1,-7,Sat Jan 13 2018 18:18:49 GMT-0800 (PST)
80948,5814,0,impression,8,6,Thu Jan 11 2018 18:48:31 GMT-0800 (PST)
3113,5647,0,impression,4,8,Fri Feb 09 2018 10:10:14 GMT-0800 (PST)
50525,227,0,down,,,Sun Feb 18 2018 02:51:08 GMT-0800 (PST)
83202,7584,0,impression,5,-7,Sat Feb 10 2018 14:40:51 GMT-0800 (PST)
37916,8944,1,resume,,,Thu Dec 28 2017 15:41:05 GMT-0800 (PST)
96034,4584,0,impression,-4,-4,Sun Feb 04 2018 00:17:40 GMT-0800 (PST)
52260,3797,0,impression,0,-8,Fri Jan 05 2018 07:23:09 GMT-0800 (PST)
83643,14,1,engage,,,Thu Feb 15 2018 22:06:40 GMT-0800 (PST)
