user_id,movie_id,algo_id,action,x,y,timestamp
68497,8619,0,impression,5,-6,Thu Dec 14 2017 00:49:03 GMT-0800 (PST)
31894,8366,1,resume,,,Sun Jan 28 2018 20:16:52 GMT-0800 (PST)
42499,5672,1,up,,,Sat Feb 24 2018 09:28:32 GMT-0800 (PST)
61416,627,0,impression,-4,5,Wed Jan 03 2018 15:56:18 GMT-0800 (PST)
68191,7782,1,engage,,,Sun Feb 11 2018 15:28:23 GMT-0800 (PST)
97930,7276,0,engage,,,Tue Feb 27 2018 23:06:59 GMT-0800 (PST)
15783,8871,0,resume,,,Mon Feb 26 2018 08:55:44 GMT-0800 (PST)
48037,7647,1,impression,9,4,Sat Feb 24 2018 23:01:29 GMT-0800 (PST)
83905,7759,0,impression,-9,-6,Sun Jan 07 2018 00:37:57 GMT-0800 (PST)
71796,7353,0,engage,,,Thu Jan 25 2018 09:26:07 GMT-0800 (PST)
26616,6607,0,complete,,,Sat Jan 06 2018 06:51:49 GMT-0800 (PST)
20,8113,1,impression,0,9,Sun Feb 04 2018 00:39:09 GMT-0800 (PST)
14755,9650,0,impression,2,-8,Sun Feb 04 2018 22:22:44 GMT-0800 (PST)
99017,5608,0,complete,,,Wed Jan 31 2018 22:53:20 GMT-0800 (PST)
40651,6726,0,engage,,,Sun Feb 04 2018 03:13:55 GMT-0800 (PST)
69858,7717,0,pause,,,Thu Feb 01 2018 23:03:07 GMT-0800 (PST)
36527,6015,1,start,,,Thu Jan 11 2018 10:12:25 GMT-0800 (PST)
81021,7030,1,impression,-7,-6,Sun Feb 25 2018 18:59:28 GMT-0800 (PST)
98393,7208,1,impression,9,-1,Tue Feb 13 2018 06:22:08 GMT-0800 (PST)
81661,3790,1,impression,-9,-6,Mon Feb 12 2018 20:23:44 GMT-0800 (PST)
55451,1598,0,complete,,,Thu Dec 21 2017 05:08:08 GMT-0800 (PST)
89735,1864,1,engage,,,Sun Jan 28 2018 19:43:59 GMT-0800 (PST)
88905,4368,0,pause,,,Tue Jan 16 2018 00:41:22 GMT-0800 (PST)
14556,7803,0,engage,,,Tue Dec 19 2017 10:39:49 GMT-0800 (PST)
